,Owner,"Country, region",Country Code,Status,Overview,Key Developments,User,Partnerships,Underlying Technology,Notable pubs/statements,Key dates,Sources,Legislation
45,Amanda,Indonesia,IDN,Research,"The Bank Indonesia is conducting a study into the issuance of a digital rupiah and the findings were expected to be released in 2020. No publication has happened so far. However, the head of transformation for the Bank Indonesia, Onny Widjanarko, said in 2018 there was currently no plan for a pilot or trial of a digital rupiah. The bank appears to be motivated in part by fears over cryptocurrencies’ capacity for financial disruption and use in illicit activity, which has led to their ban in being used for payments.","According to The Jakarta Post on January 29th, 2018, the assistant to Bank Indonesia executive director for payment systems Susiato Dewi said the digital rupiah would be trialled in 2018 to increase efficiency in the payment system. However, on February 1st, 2018, Onny Widjanarko, the head of transformation for Bank Indonesia, stated that there was no plan for a pilot project or trial. Adding further that Bank of Indonesia was still in the research process and that a study on the possible issuance was intended to be completed in 2020. This was expounded upon further by Bank Indonesia Governor Agus Martowardojo, who, in February 2018, stressed that the digital rupiah would not be issued soon and that the research could take up to two years. As of now, the report has yet to be released.

Bank Indonesia, like many other central banks, has been influenced by the rise of cryptocurrencies and will continue to monitor the space. However, the bank has outlawed the use of cryptocurrencies for payments, fearing their destabilizing effects and use in illicit activity. Regarding this issue, former finance minister Chatib Basri stated the central bank needed a digital currency to counter the circulation of cryptocurrencies.
",NA,,,,,https://www.bmeb-bi.org/index.php/BEMP/article/view/1351,
46,Amanda,Iran,IRN,Research,The Central Bank of Iran and the Iranian government have been jointly working on developing a national digital currency to circumvent economic sanctions imposed by the United States and facilitate cross-border transactions. Iranian President Hassan Rouhani has even called for a Muslim cryptocurrency to cut dependence on the dollar.,"After the United States’ withdrawal from the Iran Nuclear Deal and reimplementation of sanctions in 2018, Iran began to actively pursue the development of a national digital currency. In July of 2018, Alireza Daliri, the head of investment affairs for Iran’s Science and Technology Department, said over the next three months they would integrate blockchain technology with the central bank for implementation of a cryptocurrency across domestic banks. 

While it does not appear that Iran has issued a rial-backed digital currency, reports indicate that a gold-backed cryptocurrency has been launched in collaboration with Kuknos Company and four Iranian banks. Titled PayMon, it is intended to tokenize bank assets and properties. 

In December 2019, Iranian President Hassan Rouhani called for a Muslim cryptocurrency to deepen economic cooperation and exit the dollar’s orbit. Notably, Iran has also sought cooperation with Russia and Armenia by signing a trilateral blockchain agreement.",NA,,,,,,
47,Ole,Israel,ISR,Research,"In November 2018, a team from the Bank of Israel released a report on their research into launching a digital currency and recommended against issuing one in the near future. However, the team stated they would continue to monitor developments with digital currencies and be prepared to issue a digital currency if it became necessary.","In November 2017, the Bank of Israel Governor Dr. Karnit Flug appointed a team to research the advantages and disadvantages of issuing a central bank digital currency. The findings of the team’s research was published a year later, in November 2018, and recommended against issuing a digital currency in the near future. However, the team will continue to monitor significant developments with central bank digital currencies abroad, in order to be prepared to launch a currency, should it become necessary. ",NA,,,,,,
48,Eve,Jamaica,JAM,Research,Bank of Jamaica announced its plans to develop and test potential CBDC solutions in 2020. It is currently inviting bids from providers to test the viability for a CBDC in Jamaica in its Fintech Regulatory Sandbox.,"In early 2020, Bank of Jamaica expressed its interests in exploring a CBDC.

In a July 2020 press reslease, Bank of Jamaica invited CBDC providers to submit development and testing plans for CBDC solutions in a controlled environment in its recently established Fintech Regulatory Sandbox.

Financial inclusion, improved management processes and costs, and commitment to Jamaica's transition to a digital economy were cited as the primary benefits that Bank of Jamaica anticipated achieving with CBDC.
",NA,,,"""If a viable solution is adopted and introduced, the anticipated benefits of CBDC for Jamaican citizens, businesses and the Government include increased financial inclusion, as it will provide another means of efficient and secured payments."" - July 2020 press release",,http://www.boj.org.jm/uploads/news/boj_cbdc_press_release.pdf,
49,Josh / Eve,Japan,JPN,Research,"While the Bank of Japan is in early research stages, politicians have recently adopted a more aggressive approach towards developing a digital currency amidst growing consumer demand and Chinese CBDC progress.","As China makes progress on the digital yuan, the Bank of Japan has begun more seriously considering a retail digital currency. BoJ ministers cite that digital currencies can improve the interoperability of private payment systems. The BoJ has raised concerns of privacy and implications for countries with negative interest rates.

BoJ board member Takako Masa has said, “In Japan, we don’t have any plans now to issue central bank digital currencies, but we need to make an effort so we’re ready to respond, in case public demand for central bank digital currencies rises dramatically.” Line, Japan’s largest social network, launched a digital currency (dubbed “Link”) for use in Japan in April 2020.

Akira Amari, former economy minister and a member of the ruling Liberal Democratic Party, organized a group of lawmakers to advocate that digital currencies be placed on the G-7’s agenda in 2020. Kozo Yamamoto, also of the LDP, has proposed that digital currencies become part of the country’s mid-year policy agenda and be enacted in 2-3 years.

In July 2020, the Bank of Japan highlighted universal access and resilience as the main technical barriers that the central bank must investigate in its CBDC research in its report. It also announced the creation of a new team under the bank's payment and settlement systems department to further explore CBDC.

In October 2020, the Bank of Japan released a report outlining its approach to a general purpose CBDC, noting that ""while the Bank of Japan currently has no plans to issue CBDC, from the viewpoint of ensuring the stability and efficiency of the overall payment and settlement systems, the Bank considers it important to prepare thoroughly to respond to changes in circumstances in an appropriate manner.""
",NA,,,"BoJ board member Takako Masa has said, “In Japan, we don’t have any plans now to issue central bank digital currencies, but we need to make an effort so we’re ready to respond, in case public demand for central bank digital currencies rises dramatically.",,"https://www.japantimes.co.jp/news/2020/02/06/business/six-major-central-banks-discuss-institutions-introduction-digital-currencies/#.Xr_cOxNKjOQ
https://linecorp.com/en/pr/news/en/2020/3063
https://uk.reuters.com/article/us-japan-economy-digital/japan-ruling-party-panel-aims-to-put-digital-yen-on-governments-mid-year-policy-idUKKBN2040IN
https://www.boj.or.jp/research/brp/psr/psrb200702.htm/
https://uk.reuters.com/article/uk-japan-economy-boj-cbdc/boj-creates-new-team-to-look-into-central-bank-digital-currencies-idUKKCN24L03K
https://www.boj.or.jp/en/announcements/release_2020/rel201009e.htm/",
50,Victor,Kazakhstan,KAZ,Research,Kazakhstan officials revealed the nation’s digital currency development plan to experts from Russia and China in June 2020.,"In May 2020, Mu Xin, a senior Kazakh government adviser, proposed the introduction of blockchain technology and the digital tenge. This would aim to combat corruption and ensure transparency in the allocation of state budget funds. In June, Kazakhstan adopted a development outline for blockchain and digital technology. At present, the Central Bank of Kazakhstan is demonstrating the feasibility of introducing the CBDC tenge. ",NA,,,"Zarenov, adviser to the president of the Central Bank of Kazakhstan: “The main task of the central bank is to maintain inflation targets and financial market stability, and the digital currency solution is the second priority. The key is to ensure that the design of a digital currency system is consistent with the objectives of monetary policy.”",,https://asiatimes.com/2020/07/khazakstan-doubles-mining-investment-eyes-cbdc/,
51,Amanda,Lebanon,LBN,Research,"In October 2017, the Governor of Lebanon’s central bank Riad Salameh announced the bank plans to issue a digital currency, but did not provide a timeline. The most recent update came in November 2020, when Governor Salameh anounced that the country is preparing a national digital currency (CBDC) for a 2021 debut in order to provide a ""regulatory mechanism"" to boost confidence in Lebanon's troubled banking sector. ","The Governor of the central bank of Lebanon Riad Salamed, in October 2017, announced the central bank plan to eventually issue its own digital currency. In the announcement, he stated his belief that electronic currency will be very important in the future, but first the bank must develop safeguards against cybercrime. 

In November 2018 during his keynote speech at Al-Iktissad-Wal-Aamal Anti Cyber Crim Forum, Governor Riad commented that the bank has a working group researching the implementation of digital currency, which would be pegged to the Lira. 

The most recent update came in November 2020, when he announced to state-run media that the country would be preparing a national digital currency for a 2021 debut. The project is a ""regulatory mechanism"" intended to restore confidence in the ""troubled"" banking sector.
",NA,,,,,https://www.coindesk.com/lebanon-digital-currency-2021,
52,Victor,Mauritius,MUS,Research,The Central Bank of Mauritius (BoM) first began exploring a CBDC in November of 2019.,"An announcement regarding a formal pilot project is expected sometime in 2020 as the current governor of the central bank, Harvesh Seegolam, confirmed the project and upcoming announcement.",NA,,,"BoM governor Yandraduth Googoolye “We are determined to make our country a leader in the region, where a well-regulated central bank-issued digital currency becomes a reality.” ",,https://medium.com/security-token-group/list-of-all-central-bank-digital-currency-and-stablecoin-initiatives-1bb6f6d61ea3,
53,Amy,Netherlands,NLD,Research,"The Central Bank of Netherlands (DNB) plans to proceed in a leading role in the euro zone with research and development. Its plan will likely involve cooperation and communication with the European Central Bank, under whose mandate the discussion of CBDC falls.","The Central Bank of the Netherlands (DNB) published a report on April 21, 2020 that weighed the implementation of a possible CBDC. As the DNB wrote in its report, “DNB will therefore contribute this study within that policy debate, and intends to play an active role in policy discussion and its elaboration.” Although there are not yet any formalized independent initiatives for a CBDC, the DNB plan will likely involve cooperation and communication with the European Central Bank, under whose mandate the discussion of CBDC falls. ",NA,,,"In a statement, the Central Bank of the Netherlands noted that ""People here use cash for payments less often compared to residents of other European countries. If the Eurosystem should decide to experiment with specific forms of CBDC, DNB is prepared to play a leading role. The Netherlands provides a suitable testing ground for such an experiment.""",,"https://www.dnb.nl/en/binaries/WEB_127593_OS_CBDC_tcm47-388318.PDF
https://www.reuters.com/article/netherlands-cenbank-digital-currency/dutch-central-bank-makes-case-for-own-digital-currency-idUSL8N2C92D9
https://www.dnb.nl/en/payments/cryptos/index.jsp
",
54,Amy,New Zealand,NZL,Research,"Though some New Zealand organizations have called for a national bank digital currency, the National Bank is still weighing the benefits and drawbacks of such a program. ","New Zealand has recently become the first country to legalize salary payments in cryptocurrency,  with legislation going into effect September 1, 2020.",NA,,,"Assistant governor of the Reserve Bank of New Zealand Christian Hawkesby said New Zealand was not ready to consider developing and launching a CBDC of its own, though it was open to the possibility in the future. ",,"https://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=12078167
https://coingeek.com/new-zealand-central-bank-chief-says-no-plans-for-cbdc/
https://www.rbnz.govt.nz/-/media/ReserveBank/Files/Publications/Bulletins/2018/2018apr81-03.pdf?revision=986f16e9-262e-4e60-b789-f46a44eeb858
https://www.computerworld.com/article/3481679/group-calls-for-nz-digital-currency.html
",
55,Victor,Norway,NOR,Research,"Norway's central bank, Norges Bank, does not have plans to issue a CBDC, but has established an internal working group to study digital currencies. Governor Øystein Olsen has stated that, ""More information is needed for us to conclude whether the introduction of a central bank digital currency is an appropriate measure for promoting a secure and effective payment system and ensuring continued confidence in the monetary system.""","In May 2018, the working group released a report identifying key considerations in the decision to develop a CBDC. In June 2019, a second report explored the purposes of a CBDC and assessed potential solutions. In the next phase of the project, the working group will perform a more detailed assessment of the proposed solutions, the technologies they will require and their possible impact.

",NA,,,"“It is too early to conclude whether Norges Bank should take the initiative in introducing a CBDC. The impacts of a CBDC — and the socio-economic cost-benefit analysis — will depend on the specific design. The design, in turn, will depend on the purpose of introducing a CBDC.”",,"https://static.norges-bank.no/contentassets/166efadb3d73419c8c50f9471be26402/nbpapers-1-2018-centralbankdigitalcurrencies.pdf?v=05/18/2018121950&ft=.pdf

https://static.norges-bank.no/contentassets/79181f38077a48b59f6fbdd113c34d2c/nb_papers_2_19_cbdc.pdf?v=06/27/2019121511&ft=.pdf

https://www.r3.com/wp-content/uploads/2018/06/Cashless_Society__R3.pdf
",
56,Josh/Nitya,Pakistan,PAK,Research,"The State Bank of Pakistan is developing a concept to launch a digital currency by 2025, which coincides with its plan to become fully digital by 2030. However, this concept is still in its infancy and there remain many unknowns on whether the digital currency will be tied to the Pakistani rupee and how it will function.","In April 2019 the State Bank of Pakistan declared it was working on concept to issue a digital currency by 2025. The stated goals for issuing a digital currency are to promote financial inclusion, and reduce inefficiency and corruption.

In addition to issuing a digital currency to promote economic inclusion, the State Bank of Pakistan launched the National Payment Systems Strategy in November of 2019. According to the bank’s governor, Dr. Reza Baqir, “this strategy lays out a road map and action plan for Pakistan to have a modern and robust digital payments network.” While Pakistan’s economy is still cash heavy and digital payments rare, the State Bank of Pakistan claims that adopting electronic payments will stimulate consumption, which could boost Pakistan’s economy by 7%.",NA,,,,,https://cointelegraph.com/news/pakistans-central-bank-aims-to-issue-its-own-digital-currency-by-2025,
57,Amanda,Palestine,PSE,Research,"In May 2017, the head of the Palestine Monetary Authority (PMA) Azzam Shawwa announced they were planning to have a digital currency, called the Palestinian pound, within five years. However, it there remain significant obstacles for Palestine’s ability to develop a digital currency, as the PMA’s ability to issue currency is limited by the 1994 Paris Protocol agreement. ","The head of the Palestine Monetary Authority (PMA) Azzam Shawwa, in May 2017, announced the territory was planning to have digital Palestinian pound within five years. The reason for this would be for the PMA to have more control over the money supply and inflation. Currently, Palestine does not have its own currency and its money supply is comprised of the euro, US dollar, Israeli shekel, and Jordanian dinar. However, their remain obstacles to Palestine’s development of a digital currency, as the 1994 Paris Protocol agreement limits the PMA’s ability to issue a currency. ",NA,,,,,,
58,Victor,Philippines,PHL,Research,"In July 29 2020, the Philippine central bank, or Bangko Sentral ng Pilipinas, or BSP as it is known locally, has confirmed in a virtual briefing that it has formed a committee to look into issuing a digital currency.","The Philippine central bank is exploring the feasibility and potential policy implications of issuing a digital currency. The first results of the committee’s investigation are expected in August 2020. Meanwhile, the Philippine treasury recently launched a blockchain-based application for distributing government-issued bonds.",NA,,,Governor Benjamin Diokno: “We have to first look at the findings of the group before making a decision.”,,https://cointelegraph.com/news/philippines-central-bank-becomes-the-latest-to-consider-issuing-a-cbdc,
59,Amanda,Russia,RUS,Research,"Despite the Bank of Russia determining just last year that a national digital currency would provide no clear advantage to the country, the Bank of Russia Chairwoman, Elvira Nabiullina, stated that the bank intends to pilot its own CBDC in 2021. The central bank released a public consultation report in mid-October 2020, and plans to accept feedback and develop a pilot program to be completed this year. ","Despite the Bank of Russia determining just last year that a national digital currency would provide no clear advantage to the country, the Bank of Russia Chairwoman, Elvira Nabiullina, stated that the bank intends to pilot its own CBDC in 2021. 

In mid-October 2020, the CBR released a public consultation report analyzing the potential of launching a CBDC and accepted public feedback until the end of the year. The report indicated that the digital ruble would be available to all economic agents and is intended “to make payments even faster, easier and safer.” If issued, the digital ruble will not replace cash or electronic payments. A final decision on whether to launch the currency will be made only after running the pilot, likely by the end of 2021. 

The Bank of Russia also stated that launching a CBDC will decrease their dependence on the US dollar and potentially aid in side-stepping US sanctions. 

Over the years, the Bank of Russia has consistently expressed an anti-crypto stance. Its head, Elvira Nabiullina, stated that decentralized cryptocurrencies like bitcoin should not be legal in the nation. They have expressed that their CBDC will not contain any similar decentralized characteristics. 
",NA,,,,,"http://www.cbr.ru/analytics/d_ok/dig_ruble/#highlight=cbdc, https://decrypt.co/46114/russia-central-bank-digital-currency-pilot, https://cryptonews.com/news/five-russian-commercial-banks-eager-to-pilot-digital-ruble-i-8018.htm, https://www.coindesk.com/bank-of-russia-chief-talks-digital-ruble-sees-pilot-in-2021",
60,Eve,Rwanda,RWA,Research,"Rwanda is researching a blockchain-based CBDC and looking to learn from the experiences of other central banks' testing initiatives, including Canada, Singapore, and the Netherlands. ","The National Bank of Rwanda revealed in 2019 that it is exploring ways to issue a CBDC. Noting outstanding questions around the technology, the National Bank's Financial Stability Director-General Peace Masozera Uwase said, ""We will join in once we are ready.""",NA,,,,,https://www.bnnbloomberg.ca/rwandan-central-bank-studying-ways-of-issuing-digital-currency-1.1305321,
61,Ole,Switzerland,CHE,Research,"After examining the potential of creating a CBDC, the Swiss government concluded that it would bring too many risks of financial stability, though the digital franc could have a future role in financial institution use.","In December 2019, the Federal Council published a report on the benefits and risks of a central bank digital currency. In their findings the Federal Council concluded a “universally accessible central bank digital currency would bring no additional benefits for Switzerland at present.”  Rather, they believe that the issuance of a digital currency would introduce new risks that could jeopardize financial stability. The report was a response to the Wermuth postulate (18.3159), which was submitted in March 2018.",NA,,,The Swiss Bank assesses potential CBDC “additional benefits currently low and outweighed by risks”,,"https://www.coindesk.com/new-risks-swiss-government-skeptical-on-central-bank-digital-currency
https://www.bis.org/publ/qtrpdf/r_qt2003.pdf",
62,Eve,Taiwan,,Research,"The Central Bank of Taiwan is exploring the viability of a retail and wholesale CBDC in partnership with private partners and academic institutions, according to a press release in June 2020. ","In a press release in June 2020 following the Board of Governors meeting, the Central Bank of Taiwan noted that the focus for CBDC has shifted from wholesale to retail applications recently in many countries and that it plans to approach CBDC research in phases: starting with retail CBDC in the first half of 2020 and moving to wholesale CBDC in the third quarter of 2020. 

The Central Bank of Taiwan has established a working group, in partnership with academic institutions, to explore the technical viability of a DLT-based retail CBDC. It also plans to work with private partners to research a two-tiered wholesale CBDC.",NA,,,,,https://www.cbc.gov.tw/tw/cp-302-114966-67300-1.html,
63,Eve,Tunisia,TUN,Research,"Tunisia's blockchain-based e-dinar, issued by the government's post office, has been in circulation since 2015, without central bank involvement. The Central Bank of Tunisia is exploring several digital finance innovations, including a CBDC.","Tunisia's post office partnered with Monetas and DigitUs to offer a blockchain-based digital version of the Tunisian dinar (e-dinar) in 2015. However, the Central Bank of Tunisia was not involved.

Online reports surfaced in early November 2019 that Tunisia was starting to develop a CBDC on a blockchain platform in partnership with Russian startup Universa. The Central Bank of Tunisia (Banque Centrale de Tunisie or BCT) denied these reports and clarified that the BCT is researching digital finance innovations, including digital currencies, but it does not have plans to develop a CBDC.",NA,Universa (but turned out to be false reporting),,,,https://www.imf.org/en/Publications/Staff-Discussion-Notes/Issues/2018/11/13/Casting-Light-on-Central-Bank-Digital-Currencies-46233,
64,Amy,Turkey,TUR,Research,"President Erdogan announced in his 2020 Annual Presidential Program that testing of the digital lira will be conducted and finalized by the end of 2020, as part of Turkey's 2019-2023 economic roadmap. The government is also working with the national tech innovation agency TUBITAK to develop software to support instant payments of the digital lira. ",The Turkish Ministry of Industry and Technology announced plans to “set up a national blockchain infrastructure to deploy ledger technology in public administration.” The Strategy 2023 Presentation also plans to work with Turkish regulators to create a regulatory sandbox for blockchain applications.  ,NA,Scientific and Technological Research Council of Turkey (TUBITAK),Blockchain,"Turkish officials have raised the idea of CBDC for years, including the Nationalist Movement Party deputy chair and former Industry Minister Ahmet Kenan Tanrikulu’s report proposing the state controlled release of a “national bitcoin” 

Barış Özistek, the chairman of venture capital fund Boğaziçi Ventures and games publication company Netmarble EMEA, said ""There are more than 30 million active gamers in Turkey. Gaming is a sphere in which virtual equipment and digital currency is used for the first time, and used most commonly… Turkish users adopted to cryptocurrencies very fast and easily.”

Şant Manukyan, the director of international markets at İş Yatırım, said, “Bitcoin is highlighted in [other] countries as a protection from devaluation and as a way to carry the money abroad. In Turkey, it provides an alternative to investors who use dollar but look for profit; but it's not as common as other countries for sure.”
",End of 2020: finalized testing of digital lira ,"https://cointelegraph.com/news/turkey-puts-central-bank-digital-currency-on-new-economic-roadmap
https://cointelegraph.com/news/turkey-announces-plans-for-a-national-blockchain-infrastructure
https://www.resmigazete.gov.tr/eskiler/2019/11/20191104M1-1.pdf
https://www.al-monitor.com/pulse/originals/2018/02/turkey-mulls-national-bitcoin.html
https://cointelegraph.com/news/turkeys-unexpected-rise-to-the-top-of-global-crypto-adopters",
65,Eve,United Kingdom,GBR,Research,"The Bank of England recently stated that it has not yet made a decision on whether to introduce CBDC, and intends to engage widely with stakeholders on the benefits, risks and practicalities of doing so.","The Bank of England started researching CBDCs in 2017 and published a list of key questions around the economic impact, implications for the financial system, monetary and financial stability, scalability, security, and interoperability for blockchain-based systems. 

The BoE announced that it plans to run a DLT-based Real-Time Gross Settlement (RTGS) service Proof of Concept in March 2018 with Baton, Clearmatics, R3 and Token to understand if the BoE's Blueprint for a renewed RTGS service could operate on emerging payment technologies. The outcomes of the work published in a July 2018 report noted that ""All participants confirmed that the functionality offered by the renewed RTGS service would enable their systems to connect and to achieve settlement in central bank money."" 

The BoE published a discussion paper in March 2020 in which it explores the opportunities, challenges, and design choices of a CBDC. Former BoE Governor Mark Carney said, “a CBDC could provide households and businesses with a new form of central bank money and a new way to make payments” whilst it would raise “significant challenges for maintaining monetary and financial stability.” The paper described a platform-based approach in which the Bank would be the only entity to create or destroy a token and process payments, while payment interface providers would support interactions with end-users and provide additional payment services.",NA,,,"Former BoE Governor Mark Carney said, “a CBDC could provide households and businesses with a new form of central bank money and a new way to make payments” whilst it would raise “significant challenges for maintaining monetary and financial stability”.",,"https://www.bankofengland.co.uk/research/digital-currencies
https://web.archive.org/web/20170203191543/https://www.bankofengland.co.uk/research/Documents/onebank/cbdc.pdf
https://www.bankofengland.co.uk/-/media/boe/files/payments/rtgs-renewal-programme-proof-of-concept-supporting-dlt-settlement-models.pdf
https://www.bankofengland.co.uk/-/media/boe/files/paper/2020/central-bank-digital-currency-opportunities-challenges-and-design.pdf?la=en&hash=DFAD18646A77C00772AF1C5B18E63E71F68E4593",
66,Jeremy / Eve,USA,USA,Research,"The United States has lagged most G10 economies in exploring a digital currency. The Federal Reserve is in the very early stages of research, while interest within Congress to establish a digital dollar is growing. In August 2020, the Fed announced a collaboration with MIT researchers to build and test a digital currency for central bank uses.","The Fed has thus far been cautious and slow. In a testimony to Congress in February 2020, Fed Chair Jerome Powell said, “[I]t may be many more years before the Fed reveals any details of its research and development on a digital dollar to date, as we hope there would be many rounds of public consultation before any kind of official announcement or rollout.”

However, progress by Facebook, China, and other G10 economies may intensify the Fed’s efforts to take a greater role in shaping the global payments system. Fed Governor Lael Brainard has noted that, “Given the dollar's important role, it is essential that we remain on the frontier of research and policy development regarding CBDC...We are collaborating with other central banks as we advance our understanding of central bank digital currencies.” 

Congressional interest in establishing a digital dollar has also grown amid COVID-19. Notably, Senator Sherrod Brown (D-Ohio) introduced the Banking for All Act in March 2020 that would create a retail “digital wallet” for all Americans. Given technological challenges and subsequent delays in delivering stimulus payments to millions of American households and taxpayers, lawmakers are exploring the digital dollar as a means to promote financial inclusion and a more efficient payments system. In May 2020, Federal Reserve Bank of Philadelphia's research department has published a new working paper addressed on CBDC, which explored the transformative implications for the make-up of the financial insititutions.

In a speech at the Federal Reserve Bank of San Francisco's Innovation Office Hours in August 2020, Federal Reserve Board Governor Lael Brainard announced several updates on digital currencies, including an existing multidisciplinary team ""studying the implications of digital currencies on the payments ecosystem, monetary policy, financial stability, banking and finance, and consumer protection,"" a collaboration between the Federal Reserve Bank of Boston and MIT researchers to test ""a hypothetical digital currency oriented to central bank uses,"" and an initiative with the Bank of International Settlement's Innovation Hub for ""increased cooperation and exchange"" with other central banks.


",NA,,,"Jerome Powell: [I]t may be many more years before the Fed reveals any details of its research and development on a digital dollar to date, as we hope there would be many rounds of public consultation before any kind of official announcement or rollout.” Fed Governor Lael Brainard: “Given the dollar's important role, it is essential that we remain on the frontier of research and policy development regarding CBDC...We are collaborating with other central banks as we advance our understanding of central bank digital currencies.” 
",,"https://www.philadelphiafed.org/-/media/research-and-data/publications/working-papers/2020/wp20-19.pdf
https://www.federalreserve.gov/newsevents/speech/brainard20200813a.htm?utm_source=morning_brew","Senator Sherrod Brown (D-Ohio) introduced the Banking for All Act in March 2020 that would create a retail “digital wallet” for all Americans. Senators Rashida Tlaib (D-Mich.) and Pramila Jayapal (D-Wash.) introduce the ABC-Act on April 16 which calls for the creation of “FedAccounts” and “e-Wallets” to help administer funds directly to people via the Fed. Congressmen Foster and Hill wrote a letter to Chairman Powell on September 30, 2019 asking him to consider what it would look like to implement a CBDC and what some of the design considerations would be

"
67,Eve,Eswatini,SWZ,Research,"The Central Bank of Eswatini, in partnership with the Centre for Financial Regulation and Inclusion (Cenfri), are conducing a four-phase study to examine the use cases of CBDC in Eswatini in 2019.","In February 2020, the Central Bank of Eswatini published the phase 1 report. The study explore three use cases: payments, consumer, and economic policy.",,,,,,https://www.centralbank.org.sz/fintech/cbdc/,
68,Eve,Kenya,KEN,Research,"The Central Bank of Kenya has started exploring the possibility of introducing a CBDC in Kenya, said CBK Governor Patrick Njoroge in October 2020.","At Georgetown's DC Fintech Week in October 2020, CBK Governor Njoroge noted that the CBK has been in dicussion with global players about CBDC and that the push to study CBDCs ""comes as a result of mushrooming of pviate cryptocurrencies.""",,,,,,https://cointelegraph.com/news/kenya-s-central-bank-exploring-cbdcs-due-to-mushrooming-of-private-cryptos,
69,Eve,Kuwait,KWT,Research,"The Central Bank of Kuwait is developing a CBDC infrastructure. However, the CBK noted that ""plans for a national cryptocurrency are currently pending.""","In its 2019 Banking Report, the Central Bank of Kuwait included CBDC System as part of its Kuwait National Payment System initiative so that the Digital Dinar ""can be launched quickly by CBK should it choose to do so.""",,,,,,https://www.kfh.com/dam/jcr:fcf731eb-b3d0-4a71-8ef6-80c54448b4c6/Kuwait-Banking-Report-2019.pdf,
70,Eve,Madagascar,MDG,Research,"Banky Foiben'i Madagasikara, the Central Bank of Madagascar, is carrying out a two-phase project to study the issuance of e-Ariary. The first phase will focus on analysis, design, and experimentation. If experimentation is successful, the project will enter the implementation phase.","In response to growing international interest in CBDCs, the Central Bank of Madagascar published an one-pager outlining its approach to CBDC research, project e-Ariary, in October 2020.",,,,,,https://www.banky-foibe.mg/actualite/le-projet-e-ariary-en-quelques-lignes,
71,Eve,Malaysia,MYS,Research,"Bank Negara Malaysia, the Central Bank of Malaysia, is exploring the merits and feasibility of issuing CBDC, with preliminary findings suggesting potential benefits for facilitating cross-border payments.","In an August 2020 speech, Bank Negara Malaysia Deputy Governor Abdul Rasheed Ghaffour spoke on the central bank's foreign currency operations, including its ongoing study into CBDC.",,,,,,https://www.bnm.gov.my/-/opening-remarks-by-deputy-governor-abdul-rasheed-ghaffour-at-the-ossp-bnm-seacen-forum-on-central-bank-foreign-currency-operations,
